CountryOrTerritory,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Pollutant,AggregationType,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
Spain,2012,2015-10-20 14:18:16.3230000,STA_ES1805A,SP_28067001_14_6,40.780829999999995,-3.7025000000000001,Ozone (air),Annual mean / 1 calendar year,ES.BDCA.AQD,ug.m-3,2012-01-01,2013-01-01,Valid,Verified,99.05510018,100,99.05510018,66.55120101
France,2012,2015-10-30 00:10:36.4930000,STA-FR39001,SPO-FR39001_00001_100,0.000131208828715695,-0.000548561618139291,Sulphur dioxide (air),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2012-01-01,2013-01-01,Not valid,Verified,0.02276867,100,0.02276867,0.72915
France,2012,2015-10-30 00:10:36.4930000,STA-FR37001,SPO-FR37001_00008_100,16.257306999999994,-61.591723999999999,Nitrogen dioxide (air),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2012-01-01,2013-01-01,Not valid,Verified,0.02276867,100,0.02276867,15.25
France,2012,2015-10-30 00:10:36.4930000,STA-FR39008,SPO-FR39008_00005_100,14.616389000000003,-61.1008,Particulate matter < 10 µm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2012-01-01,2013-01-01,Not valid,Verified,0.02276867,100,0.02276867,7.875
France,2012,2015-10-30 00:10:36.4930000,STA-FR40004,SPO-FR40004_00038_100,4.9322140000000001,-52.310226,Nitrogen monoxide (air),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2012-01-01,2013-01-01,Not valid,Verified,0.03415301,100,0.03415301,1.08333333
France,2012,2015-10-30 00:10:36.4930000,STA-FR39002,SPO-FR39002_00007_100,14.603300000000003,-61.077700000000007,Ozone (air),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2012-01-01,2013-01-01,Not valid,Verified,0.02276867,100,0.02276867,55.8125
France,2012,2015-10-30 00:10:36.4930000,STA-FR39002,SPO-FR39002_00008_100,14.603300000000003,-61.077700000000007,Nitrogen dioxide (air),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2012-01-01,2013-01-01,Not valid,Verified,0.02276867,100,0.02276867,6.175
France,2012,2015-10-30 00:10:36.4930000,STA-FR39013,SPO-FR39013_00038_100,14.675557999999995,-60.946095000000007,Nitrogen monoxide (air),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2012-01-01,2013-01-01,Not valid,Verified,0.02276867,100,0.02276867,0.5125
France,2012,2015-10-30 00:10:36.4930000,STA-FR39013,SPO-FR39013_00008_100,14.675557999999995,-60.946095000000007,Nitrogen dioxide (air),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2012-01-01,2013-01-01,Not valid,Verified,0.02276867,100,0.02276867,2.575
France,2012,2015-10-30 00:10:36.4930000,STA-FR39007,SPO-FR39007_00005_100,14.610399999999998,-61.054600000000001,Particulate matter < 10 µm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2012-01-01,2013-01-01,Not valid,Verified,0.02276867,100,0.02276867,15.6125
